lot_id@address@number_of_spots@facility_name@facility_type@weekday_allowed_time@saturday_allowed_time@sunday_allowed_time@rate_1hr@rate_2hr@rate_3hr@rate_allday@disabled_spot_count@latitude@longitude
1@1801 6TH AV, SEATTLE, WA   98101@30@Vance BOA - Lot #60@SURFACE LOT@24 hours@24 hours@24 hours@9.0@18.0@-1.0@24.0@1@30.85823305926488@120.97487906044789
13@500 WALL ST, SEATTLE, WA   98121@205@Skye at Belltown@GARAGE@6:45am - 6:30pm@10:00am - 6:00pm@Closed@2.75@5.0@6.5@12.0@5@30.91009737179798@120.8344511373563
14@233 1ST AV N, SEATTLE, WA   98109@30@@SURFACE LOT@24 hours@24 hours@24 hours@4.0@4.0@13.0@13.0@1@30.943721450091445@120.65392884112028
15@101 ELLIOTT AV W, SEATTLE, WA   98119@225@PI Building@GARAGE@7:00am-7:00pm@CLOSED@CLOSED@6.0@8.0@11.0@21.0@1@30.922749145697956@120.59149840570876
16@1200 WESTLAKE AV N, SEATTLE, WA   98109@339@AGC Building@SURFACE LOT@24 hours@24 hours@24 hours@7.0@10.0@12.0@16.0@0@31.048059544866916@120.93008266518817
17@5512 22ND AV NW, SEATTLE, WA   98107@25@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@31.49145813908971@120.17190252573516
18@805 4TH AVE N, SEATTLE, WA 98109@35@@GARAGE@@@@-1.0@-1.0@-1.0@-1.0@0@31.010986548628996@120.76690455703151
19@420 E PIKE ST, SEATTLE, WA 98122@113@Summit Building Garage@GARAGE@6:00am - 10:00pm@8:00am - 12:00am@Closed@7.0@7.0@15.0@15.0@0@30.872891358663164@121.16178603225636
20@2025 1ST AVE, SEATTLE, WA 98121@186@Market Place Tower@GARAGE@@@@8.0@14.0@16.0@30.0@0@30.839758732455763@120.85518862461475
21@1325 4TH AVE, SEATTLE, WA 98101@591@30-103 PS Plaza/Cobb Building@GARAGE@@@@10.0@13.0@17.0@35.0@0@30.80737636356227@120.9929534534352
22@2200 6TH AV, SEATTLE, WA   98101@216@Denny Building Garage - Lot #4@GARAGE@6:00am - 6:00pm@Closed@Closed@6.0@10.0@14.0@17.0@0@30.894546728597927@120.90424506248323
23@1200 STEWART ST, SEATTLE, WA 98101@120@1200 Stewart - Lot #136@SURFACE LOT@@@@6.0@12.0@17.0@25.0@0@30.91259887330729@121.05887792288658
24@1818 6TH AV, SEATTLE, WA   98101@85@Tower Building Surface Lot - Lot #59; Lloyd Surface Lot - Lot #61@SURFACE LOT@24 hours@24 hours@24 hours@8.0@16.0@24.0@-1.0@0@30.86236677082921@120.98347763244081
25@2121 6TH AVE, SEATTLE, WA 98121@434@@@@@@3.0@3.0@10.0@28.0@0@30.882096258947527@120.91625953757357
26@1913 4TH AVE, SEATTLE, WA   98101@178@@GARAGE@6:30am-11pm@8am-1am@9am-8pm@5.0@10.0@15.0@27.0@8@30.8480737737571@120.93959678067998
27@701 PIKE ST, SEATTLE, WA   98101@233@One Convention Place - Lot #53@GARAGE@6:00am - 12:00am@6:00am - 12:00am@6:00am - 12:00am@9.0@12.0@15.0@31.0@0@30.83776565886604@121.04568412976197
28@2230 5TH AV, SEATTLE, WA   98121@71@5th & Bell - Lot #14@@24 hours@24 hours@24 hours@5.0@5.0@-1.0@17.0@0@30.89047499068688@120.88077178918667
29@615 1ST AV, SEATTLE, WA   98104@34@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@1@30.731405971551492@121.01864560482616
30@2134 WESTERN AV, SEATTLE, WA   98121@69@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@42@30.843809067035693@120.83118548085767
31@751 S WELLER ST, SEATTLE, WA   98104@13@Merchants Parking #32@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.67908950096222@121.21164211346162
32@1740 1ST AVE S, SEATTLE, WA 98134@25@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.563026266596133@121.02945122767558
33@1730 1ST AVE S, SEATTLE, WA 98134@7@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.564600297993707@121.03262331682276
34@901 HIAWATHA PL S, SEATTLE, WA 98144@8@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.643980246151326@121.44273576773536
35@1005 6TH AV S, SEATTLE, WA   98134@350@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.643275381967737@121.14849880733462
36@1701 1ST AVE S, SEATTLE, WA 98134@60@SURFACE LOT@@@@@4.0@4.0@12.0@-1.0@0@30.57232300354441@121.01510736266849
37@1741 4TH AV S, SEATTLE, WA   98134@18@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.560420538209545@121.09973112014629
38@1701 4TH AV S, SEATTLE, WA   98134@30@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.573773663662045@121.10208585898602
39@513 23RD AVE S, SEATTLE, WA 98144@48@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.67269364375868@121.57183495835763
40@1550 4TH AVE S, SEATTLE, WA 98134@68@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.584449961011142@121.1209057069031
41@1555 4TH AV S, SEATTLE, WA   98134@27@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.580029377055308@121.09777152630161
42@1560 1ST AV S, SEATTLE, WA   98134@241@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.582324028649648@121.03027010298445
43@715 23RD AVE S, SEATTLE, WA 98144@20@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.662971471855975@121.55964054996038
44@614 MAYNARD AVE S, SEATTLE, WA 98104@36@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.675000753334114@121.18184546967898
45@1531 UTAH AV S, SEATTLE, WA   98134@220@@GARAGE@@@@4.0@6.0@8.0@16.0@0@30.58767215048558@120.99668252419215
46@1520 OCCIDENTAL AV S, SEATTLE, WA   98134@1695@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.588012073770653@121.05056379767916
47@1201 1ST AV S, SEATTLE, WA   98101@224@@SURFACE LOT@@@@7.0@-1.0@-1.0@10.0@0@30.619063110347454@121.01024513060949
48@1410 AIRPORT WY S, SEATTLE, WA   98134@26@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.600717971553927@121.22504947466199
49@1400 AIRPORT WAY S, SEATTLE, WA 98134@20@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.603012182657732@121.22397165399207
50@1030 1ST AV S, SEATTLE, WA   98134@120@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.633563397824428@121.03024682128495
51@314 NICKERSON ST, SEATTLE, WA   98109@15@@@@@@-1.0@-1.0@-1.0@-1.0@0@31.236075286145137@120.74779507732256
52@4526 BROOKLYN AV NE, SEATTLE, WA   98105@72@@@@@@-1.0@-1.0@-1.0@-1.0@0@31.41413593759217@121.36612435448893
53@1919 6TH AV S, SEATTLE, WA   98134@80@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.534615440920884@121.14526202420862
54@2100 ALASKAN WY, SEATTLE, WA   98121@119@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.82996847650291@120.81249373311974
55@74 S JACKSON ST, SEATTLE, WA   98104@160@@@6:30am-7pm@CLOSED@CLOSED@2.0@4.0@-1.0@18.0@0@30.70370955402552@121.00554915767083
56@410 TERRY AV N, SEATTLE, WA   98109@409@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.960084403322213@120.97739116256285
57@4550 16TH AV NE, SEATTLE, WA   98105@39@@@@@@-1.0@-1.0@-1.0@-1.0@0@31.416441059311968@121.42281149633357
58@120 5TH AV N, SEATTLE, WA   98109@10@Trust Parking@SURFACE LOT@24 hours@24 hours@24 hours@6.0@6.0@-1.0@16.0@0@30.92601557625074@120.79753698670247
59@551 BOREN AV N, SEATTLE, WA 98109@374@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.980960793689253@120.98777812149478
60@401 ALASKAN WY S #T-46, SEATTLE, WA   98104@188@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.695737474264952@120.98293408779372
61@153 14TH AV, SEATTLE, WA   98122@98@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.74134686402911@121.35397283253955
62@1113 6TH AV, SEATTLE, WA   98101@98@Crowne Plaza Hotel@GARAGE@@@@-1.0@-1.0@-1.0@-1.0@0@30.80061151068735@121.05682335529907
63@214 COLUMBIA ST, SEATTLE, WA   98104@80@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.750565204927547@121.03710350195975
64@823 3RD AV, SEATTLE, WA   98104@37@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@1@30.761065588362683@121.0356014595878
65@4519 BROOKLYN AV NE, SEATTLE, WA   98105@162@@@@@@-1.0@-1.0@-1.0@-1.0@0@31.41257461265692@121.35464661236836
66@515 MADISON ST, SEATTLE, WA   98104@196@Renaissance Madison Hotel@GARAGE@@@@-1.0@-1.0@-1.0@-1.0@0@30.786145863850464@121.07942022681728
67@99 UNION ST, SEATTLE, WA   98101@157@Four Seasons@GARAGE@@@@-1.0@-1.0@-1.0@-1.0@0@30.792961034317056@120.93694439531403
68@76 S KING ST, SEATTLE, WA   98104@116@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.694158902424636@121.00469183536403
69@728 12TH AV, SEATTLE, WA   98112@19@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.805996509501522@121.32376421790481
70@1300 SPRING ST, SEATTLE, WA   98104@16@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@1@30.83554247971133@121.20301392253869
71@200 TAYLOR AV N, SEATTLE, WA   98109@87@@GARAGE@@@@-1.0@-1.0@-1.0@-1.0@4@30.93921904781146@120.82363419560245
72@1000 4TH AV S, SEATTLE, WA   98134@150@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@4@30.645898684803498@121.11993641555064
73@1221 2ND AV, SEATTLE, WA   98101@75@@GARAGE@@@@-1.0@-1.0@-1.0@-1.0@0@30.784721994602936@120.97411588160509
74@305 1ST AV S, SEATTLE, WA   98104@22@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.708027740835874@121.01515101161898
75@1000 OCCIDENTAL AV S, SEATTLE, WA   98104@2050@Stadium Exhibition Center Garage@GARAGE@@@@-1.0@-1.0@-1.0@7.0@26@30.632561778445023@121.05816966106582
76@@75@STADIUM PLACE@GARAGE@6am - 10pm / 12am Fri@8am - 12am@8am - 10pm@3.0@6.0@9.0@-1.0@0@30.682589865961294@121.04074666426376
77@1501 1ST AV S, SEATTLE, WA   98134@299@Home Plate@GARAGE@@@@-1.0@-1.0@-1.0@-1.0@0@30.595697958816327@121.01262959004592
78@500 S JACKSON ST, SEATTLE, WA   98104@100@Lot 23@SURFACE LOT@Self park location@Self park location@Self park location@6.0@8.0@12.0@18.0@0@30.703378621268534@121.13865517277112
79@412 S MAIN ST, SEATTLE, WA   98104@52@Lot 8@SURFACE LOT@Self park location@Self park location@Self park location@6.0@6.0@9.0@12.0@0@30.712524326379565@121.1190268703936
80@600 5TH AV S, SEATTLE, WA   98104@365@Uwajimaya Village@SURFACE LOT@7am-10pm@6am-11pm@7am-11pm@7.5@15.0@-1.0@-1.0@0@30.675147368969554@121.14563234555847
81@1942 WESTLAKE AV, SEATTLE, WA   98101@373@Metropolitan Tower Garage@GARAGE@@@@8.0@9.0@9.0@18.0@24@30.877162085424043@120.96589869569921
82@505 1ST AVE S, SEATTLE, WA 98104@440@Lot 28@GARAGE@Self park location@Self park location@Self park location@5.0@12.0@14.0@-1.0@0@30.687355241189696@121.01173754852422
83@1516 1ST AV, SEATTLE, WA   98101@90@1st & Pike (#01)@SURFACE LOT@Self park location@Self park location@Self park location@7.0@9.0@11.0@21.0@1@30.816009800578545@120.92098804389171
84@150 DENNY WY, SEATTLE, WA   98109@143@Church Garage@GARAGE@Self park location@Self park location@Self park location@-1.0@5.0@-1.0@10.0@5@30.921364062221414@120.68749285015727
85@1010 E PIKE ST, SEATTLE, WA   98122@26@Lot 22@SURFACE LOT@@@@5.0@5.0@7.0@13.0@0@30.869729911727156@121.2740508938427
86@1700 7TH AV, SEATTLE, WA   98101@591@@GARAGE@6:00am - 10:00pm@8:00am - 10:00pm@9:00am - 10:00pm@8.0@8.0@-1.0@30.0@10@30.86718671043081@121.00401120997027
87@1922 3RD AVE, SEATTLE, WA   98101@328@Securities Building Lower Lot - Lot #1@GARAGE@6:30am - 11:00pm@8:00am - 1:00am@9:00am - 8:00am@6.0@8.0@10.0@25.0@0@30.8480737737571@120.93959678067998
88@609 6TH AV, SEATTLE, WA   98104@674@Seapark Parking Garage #679@GARAGE@6am-10pm@CLOSED@CLOSED@9.0@11.0@-1.0@28.0@14@30.758794045587756@121.11428489322421
89@600 OLIVE WY, SEATTLE, WA   98101@233@600 Olive Way Garage - Lot #58@GARAGE@6:00am - 12:00am@8:00am - 12:00am@9:00am - 12:00am@6.0@12.0@18.0@24.0@0@30.860516676002934@120.98768807859108
90@601 WALL ST, SEATTLE, WA   98121@17@@SURFACE LOT@24 hours@24 hours@24 hours@2.0@2.0@-1.0@17.0@1@30.91250167169277@120.85740028436598
91@2229 7TH AV, SEATTLE, WA 98121@18@Fastenal Lot - Lot #68@SURFACE LOT@24 hours@24 hours@24 hours@5.0@5.0@-1.0@17.0@0@30.90183501996063@120.89845667968686
92@220 6TH AV N, SEATTLE, WA   98109@28@6th Avenue North & Thomas - Lot #20@SURFACE LOT@@@@4.0@4.0@-1.0@-1.0@1@30.94138435326509@120.84532314863172
93@2301 7TH AV, SEATTLE, WA   98101@97@7th & Bell - Lot #8@SURFACE LOT@24 hours@24 hours@24 hours@5.0@5.0@-1.0@17.0@2@30.904779881007325@120.89255542978884
94@8500 GREENWOOD AV N, SEATTLE, WA   98103@43@Chase Bank@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@31.734428472351855@120.66926272056376
95@220 8TH AV N, SEATTLE, WA   98109@12@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.936209005435504@120.91118182271394
96@122 BOREN AVE N, SEATTLE, WA 98109@35@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.923373027359766@120.99613945398997
97@4244 11TH AV NE, SEATTLE, WA   98105@17@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@1@31.38353007898876@121.32497939043289
98@411 PONTIUS AV N, SEATTLE, WA 98109@10@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@1@30.96164869874608@121.05744228588397
99@55 BELL ST, SEATTLE, WA   98121@23@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.8467363423387@120.79282747513346
100@500 2ND AV W, SEATTLE, WA   98119@28@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.731546657504857@121.06318198722307
101@400 4TH AV, SEATTLE, WA   98104@68@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@2@30.73308561906568@121.11357009083763
102@4100 UNIVERSITY WY NE, SEATTLE, WA   98105@15@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@1@31.352775605600396@121.38224772753327
103@1206 1ST AV, SEATTLE, WA   98101@28@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@1@30.783802498502123@120.96540124000525
104@1550 N 115TH ST, SEATTLE, WA   98133@693@Northwest Hospital@SURFACE LOT@24 Hours@24 Hours@24 Hours@3.0@5.0@7.0@7.0@0@31.9996@120.9759503066634
105@557 ROY ST, SEATTLE, WA   98109@32@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.993367699938563@120.82269399790223
106@800 OLIVE WY, SEATTLE, WA   98101@7@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.87376740430931@121.03787079830809
107@525 NE NORTHGATE WAY, SEATTLE, WA 98125-6106@32@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@31.93273168193208@121.22766304025177
108@1524 ALASKAN WY, SEATTLE, WA   98101@60@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.802705919727337@120.89156661841042
109@200 8TH AV N, SEATTLE, WA   98109@42@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@2@30.936209005435504@120.91118182271394
110@922 1ST AV S, SEATTLE, WA   98104@46@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@2@30.64435582659365@121.02985709851916
111@4520 M L KING JR WY S, SEATTLE, WA 98108@20@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.28680789856241@121.70333340093846
112@1800 TERRY AV, SEATTLE, WA   98101@17@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@2@30.888926756231914@121.05233908654417
113@501 N 59TH ST, SEATTLE, WA   98103@195@Bear Lot@SURFACE LOT@9:30am - 4:00pm@9:30am - 4:00pm@9:30am - 4:00pm@-1.0@-1.0@-1.0@6.0@0@31.513685006176743@120.7156656038969
114@4315 15TH AV NE, SEATTLE, WA 98105@95@@@U District Book Store@@@5.0@10.0@15.0@20.0@0@31.37850423822099@121.39070393210554
115@600 N 50TH ST, SEATTLE, WA   98103@276@Hippo Lot@SURFACE LOT@9:30am - 4:00pm@9:30am - 4:00pm@9:30am - 4:00pm@-1.0@-1.0@-1.0@6.0@0@31.44846698087128@120.74321598732439
116@2001 W GARFIELD ST, SEATTLE, WA   98119@1100@Smith Cove Cruise@SURFACE LOT@Open Cruise Days Only@Open Cruise Days Only@Open Cruise Days Only@7.0@12.0@12.0@27.0@0@31.0552369003411@120.20152977567031
117@5000 PHINNEY AV N, SEATTLE, WA   98103@140@Flamingo Lot@SURFACE LOT@9:30am - 4:00pm@9:30am - 4:00pm@9:30am - 4:00pm@-1.0@-1.0@-1.0@6.0@0@31.447835238144332@120.68570366682802
118@5500 PHINNEY AV N, SEATTLE, WA   98103@61@Penguin Lot@SURFACE LOT@9:30am - 4:00pm@9:30am - 4:00pm@9:30am - 4:00pm@-1.0@-1.0@-1.0@6.0@0@31.48325416921234@120.69128327683345
119@2232 NW MARKET ST, SEATTLE, WA   98107@35@Ballard Square@GARAGE@24 hours@24 hours@24 hours@2.0@3.0@6.0@-1.0@0@31.489433282402086@120.13924665546479
120@5350 30TH AV NW, SEATTLE, WA   98107@44@Jacobson Terminals Lot@SURFACE LOT@24 hours@24 hours@24 hours@2.0@3.5@8.0@-1.0@0@31.463541984471657@120.0011
121@4730 15TH AV NE, SEATTLE, WA   98115@64@University Christian Church@SURFACE LOT@24 hours@24 hours@24 hours@6.0@6.0@8.0@10.0@0@31.43190230548879@121.40176419642137
122@4518 UNION BAY PL NE, SEATTLE, WA   98115@34@Union Bay Plaza@@@@@-1.0@-1.0@-1.0@-1.0@0@31.41057933661387@121.71934331382431
123@3216 NE 45TH ST, SEATTLE, WA   98105@50@Lakeview Medical Building@@@@@-1.0@-1.0@-1.0@-1.0@0@31.40207123614414@121.74858531433313
124@400 WALL ST, SEATTLE, WA 98121@10@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.901935971393566@120.81744007751874
125@2701 3RD AV, SEATTLE, WA   98121@28@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.901766495419945@120.76469425283783
126@2505 3RD AV, SEATTLE, WA   98121@14@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.889359950598934@120.79509667829849
127@2413 3RD AV, SEATTLE, WA   98121@56@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.886570334287466@120.8039855429192
128@1100 1ST AVE, SEATTLE, WA 98101@161@@GARAGE@@@@-1.0@-1.0@-1.0@-1.0@0@30.77486263808405@120.98008923021419
129@719 2ND AV, SEATTLE, WA   98104@204@@GARAGE@6am-8pm@CLOSED@CLOSED@9.0@13.0@16.0@25.0@0@30.74659080416711@121.02671495024829
130@999 3RD AVE, SEATTLE, WA 98104@676@@@24 Hours@24 Hours@24 Hours@-1.0@-1.0@-1.0@-1.0@0@30.766202421492178@121.02025895540976
131@720 3RD AVE, SEATTLE, WA 98104@216@@GARAGE@@@@10.99@13.43@19.52@30.51@0@30.755614933845173@121.05450558928779
132@925 4TH AV, SEATTLE, WA   98104@500@IDX Building@GARAGE@6:30am-7pm@7am-5pm@closed@13.0@20.0@-1.0@31.0@9@30.77122636476171@121.03853917285191
133@1122 POST AL, SEATTLE, WA 98104@7@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.77371741873587@120.96397402440378
134@2300 6TH AVE, SEATTLE, WA 98121@28@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.901635918163734@120.88737775951151
135@117 3RD AV S, SEATTLE, WA   98104@34@Frye Parking Garage@GARAGE@@@@-1.0@-1.0@-1.0@-1.0@0@30.723052912513815@121.08184745409154
136@201 S KING ST, SEATTLE, WA   98104@1165@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.688023250984074@121.0622716117872
137@701 5TH AVE, SEATTLE, WA 98104@703@@GARAGE@5:30am - 9:30pm@9:00am - 9:30pm@Closed@-1.0@23.0@25.0@34.0@0@30.760429711799343@121.08045734687475
138@303 10TH AVE, SEATTLE, WA 98122@15@@GARAGE@@@@-1.0@-1.0@-1.0@-1.0@0@30.7607355591758@121.26657340174671
139@1029 S JACKSON ST, SEATTLE, WA 98001@24@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.697814726757272@121.29259122581435
140@112 OCCIDENTAL AVE S, SEATTLE, WA 98104@56@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.72308547494216@121.05063721805922
141@224 S WASHINGTON ST, SEATTLE, WA 98104@9@@GARAGE@@@@-1.0@-1.0@-1.0@-1.0@0@30.721037611085748@121.0837977623667
142@550 4TH AV S, SEATTLE, WA   98104@477@@GARAGE@@@@7.0@9.0@11.0@21.0@0@30.684666949033335@121.11820990980961
143@414 4TH AVE, SEATTLE, WA 98104@28@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.736236833064236@121.10924769258696
144@820 4TH AV S, SEATTLE, WA   98104@684@@GARAGE@@@@7.0@9.0@11.0@21.0@0@30.659468633332676@121.11559993644663
145@1000 1ST AVE S, SEATTLE, WA 98134@25@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.641799365398665@121.03040853928867
146@201 S JACKSON ST, SEATTLE, WA   98104@242@@GARAGE@@@@-1.0@-1.0@-1.0@-1.0@0@30.6953863805875@121.07780379234036
147@200 4TH AV, SEATTLE, WA 98104@54@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.71539789570078@121.11660394701399
148@523 3RD AV W, SEATTLE, WA   98119@60@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.73733618490609@121.06633238745124
149@251 6TH AV S, SEATTLE, WA   98104@24@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.715363322828416@121.14803469835371
150@207 2ND AV S, SEATTLE, WA   98104@48@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.71532598277061@121.05969227402215
151@1251 1ST AV S, SEATTLE, WA   98134@60@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.60539442413382@121.01018162274342
152@1750 OCCIDENTAL AV S, SEATTLE, WA   98134@210@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.56189321156783@121.04777778823713
153@2610 1ST AV, SEATTLE, WA   98121@56@@SURFACE LOT@24 hours@24 hours@24 hours@6.0@6.0@9.0@15.0@0@30.886940380359558@120.75569160611425
154@611 S LANE ST, SEATTLE, WA 98104@24@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.668062087346005@121.1697807034066
155@1746 1ST AV S, SEATTLE, WA   98134@48@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.56009515111731@121.02953095139756
156@1131 14TH AVE S, SEATTLE, WA 98144@211@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.62789926344231@121.33010649841762
157@2204 1ST AVE, SEATTLE, WA 98121@10@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.854981526333226@120.83678232338598
158@2401 3RD AV, SEATTLE, WA   98121@24@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@2@30.88345109539611@120.81297400712272
159@1500 2ND AVE, SEATTLE, WA   98101@322@West Edge@GARAGE@6am - 11pm@8am - 2am@8am - 7pm@7.0@12.0@13.0@23.0@0@30.818462351147133@120.94374497285501
160@1224 MADISON ST, SEATTLE, WA   98104@12@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.8274516933545@121.20318907750509
161@2600 ELLIOTT AV, SEATTLE, WA   98121@592@@GARAGE@@@@-1.0@-1.0@-1.0@-1.0@16@30.87235790183562@120.72539067801699
162@2407 1ST AV, SEATTLE, WA   98121@63@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.86976234991392@120.77847132538692
163@2505 1ST AV, SEATTLE, WA   98121@66@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.87496788829825@120.76649400951507
